Accession,Female_Parent,Male_Parent,Cross_Type
CP17-2393,CP00-1630,CP97-1777,
CP17-2411,CP10-2002,CPCL02-8021,
CP17-2435,CP10-1478,CP08-1553,
CP17-4055,CP07-2046,POLY13-009,
CP17-4154,CP09-4267,CP05-1616,
CP17-4181,CP04-1935,POLY13-012,
CP17-4262,CP09-1874,CP01-2390,biparental
CP17-4264,CP09-1874,CP01-2390,
CP17-4456,CPCL97-0393,CP06-2897,
CP17-4523,CP09-4267,CP01-2390,
CP17-4572,CPCL05-1201,CPCL99-2651,
CP17-4628,CPCL05-1201,CP11-1314,
CP17-4654,CP84-1198,CP04-1935,
CP17-4665,CP84-1198,CP04-1935,
CP17-4681,CP09-1874,CP84-1198,
CP17-4731,CP09-1874,CP07-2547,biparental
CP17-4791,CPCL97-2730,CP07-2547,
CP17-4793,CPCL97-2730,CP07-2547,
CP17-4806,CPCL97-2730,CP07-2547,biparental
CP17-4813,CP09-1874,CP07-2547,
CP17-4830,CP09-1874,CP07-2547,
CP18-1038,CP08-2506,CP92-1167,
CP18-1129,CP06-2897,CP01-2390,
CP18-1224,CP06-2897,CP11-1314,
CP18-1486,GA59-0024,CP11-1314,
CP18-1519,CP06-2897,CP08-1183,
CP18-1580,CP10-2002,CP06-2400,
CP18-1586,CP08-1995,CP06-2400,
CP18-1590,CP08-1995,CP06-2400,
CP18-1591,CP08-1995,CP06-2400,biparental
CP18-1606,CP10-2002,CP11-1314,
CP18-1680,CP10-2002,CP06-2897,
CP18-1685,#8ColdHardy,CP06-2897,biparental
CP18-1837,CP11-2013,CP10-1478,
CP18-1880,CP11-2013,CPCL99-2651,
CP18-2021,CP09-2392,CP84-1198,
CP18-2140,CP06-2400,CP07-2547,biparental
CP18-2222,CP99-1893,CP08-1553,
CP18-2248,BR97-2001,CP06-2042,biparental
CP18-2320,ISD30,CP06-2042,
CP18-2329,,,
CP18-2351,CG04-9694,CP08-1553,
CP18-2362,CG04-9694,CP08-1553,
CP18-2439,GX7,POLY09-26,biparental
CP18-4027,CP04-1844,CPCL02-8021,
CP18-4035,CP09-4153,CP09-4067,
CP18-4125,CP09-2392,CP08-1553,
CP18-4144,CP04-1935,POLY13-012,
CP18-4264,CP09-2392,CP06-2400,biparental
CP18-4270,CP09-2392,CP06-2400,
CP18-4475,CPCL97-2730,CP07-2547,
CP18-4485,CPCL05-1791,CP06-2400,
CP18-4523,CPCL05-1791,CP08-1553,
CP18-4642,CP06-2495,CP11-1314,biparental
CP18-4692,CP06-2897,CP11-2545,
CP18-4731,CP06-2897,CP11-2545,
CP19-1147,CP09-1132,CP03-1026,
CP19-1163,CP97-1777,CP08-1553,
CP19-1178,CP08-1553,POLY13-011,
CP19-1254,CPCL99-2651,CP07-2547,biparental
CP19-1435,#8ColdHardy,CP08-1995,biparental
CP19-1533,CPCL05-1201,CP97-1777,biparental
CP19-1795,CP10-1478,CP08-1553,
CP19-1801,Q196,CP08-1553,
CP19-1819,CP02-1564,CP84-1198,
CP19-1834,CP02-1564,CP84-1198,biparental
CP19-2031,CP12-1757,CP08-1553,
CP19-2051,CP12-1757,CP08-1553,
CP19-2108,CR03-0038,CP08-1553,
CP19-2136,CP13-1615,CP08-1553,
CP19-2168,CP11-2013,CP11-1314,biparental
CP19-2309,CP11-2412,CP06-2042,
CP19-2317,N37,CR04-0001,biparental
CP19-2338,CP07-2547,CR04-0001,biparental
CP19-2426,CP09-1262,CP11-1314,
CP19-4012,CP08-2400,POLY10-09,
CP19-4034,CP03-1912,CP97-1777,
CP19-4073,CL89-5189,POLY11-14,biparental
CP19-4099,CP03-1912,CP08- 1553,
CP19-4154,CP08-1913,CP08-1553,
CP19-4215,CP09-3033,CP09-4067,
CP19-4312,CP09-1874,CP01-2390,
CP19-4366,CPCL97-2730,CP09-4251,biparental
CP19-4398,CPCL97-0393,CP08-1183,
CP19-4436,CP06-2495,CP11-2324,biparental
CP19-4471,CL89-5189,CP05-1616,
CP19-4524,CP02-1564,CP07-2547,
CP19-4565,CP09-2392,CP84-1198,
CP19-4593,CP09-2392,CP84-1198,
CP19-4605,CP09-2392,CP84-1198,biparental
CP19-4681,,,
CP19-4755,CPCL05-1791,CP08-1553,biparental
CP19-4825,CP10-1620,CP11-2324,
CP20-1253,,,
CP20-1402,,,
CP20-1614,,,
CP20-1759,CP97-1777,ISD29,biparental
CP20-2442,,,
CP20-4099,,,
CP20-4262,,,
CP20-4626,CP01-2390,POLY13-013,biparental
CP21-1218,,,
CP21-1466,,,
CP21-1591,,,
CP21-1717,,,
CP21-1940,,,
CP21-2274,,,
CP21-2400,,,
CP21-2457,,,
CP21-2485,,,
CP22-1086,CP12-1443,CP08-1553,biparental
CP22-1120,CP17-2031,CP09-1952,biparental
CP22-1721,CP07-2320,CP12-2195,biparental
CP22-1979,CP15-2405,CP06-2042,biparental
CP22-2076,CP06-2400,CP00-1101,biparental
CP22-2378,CPCL02-0926,CP13-2497,biparental
CP22-2491,,,
CP22-4129,,,
CP22-4140,,,
CP22-4183,,,
CP22-4308,,,
CP22-4530,,,
CP22-4638,,,
CP72-2086,,,
CP73-1547,,,
CP85-1491,,,
CP89-2143,,,
CP96-1252,CP90-1538,CP84-1198,
CP97-1777,CP90-1233,CP57-0603,
CPCL02-0926,CP80-1743,CL92-0046,biparental
CPCL02-6848,CL92-2533,POLY01-9,biparental
CPCL02-8147,,,
CPCL02-8149,,,
CPCL05-1102,CL89-5189,CL88-4730,
CPCL05-1201,CL87-2882,CL93-2679,
CPCL05-1791,CP96-1252,CL90-4725,biparental
CPCL95-2287,,,
CPCL97-0393,,,
CPF-249,,,
CPF-250,,,
CR00-026,,,
CR03-0038,,,
CR04-001,,,
CR94-1006,,,
CR95-1007,,,
CR97-1008,,,
CSSG-0032,,,
CSSG-0033,,,
