"id","totalbiomass","ratooningability","averagebrix","observed"
"CP13-4474",2438.3,0.4431,20.0999,FALSE
"CP13-4513",2458.06,0.4435,20.0707,FALSE
"CP13-4524",2458.06,0.4435,20.0707,FALSE
"CP13-4543",2458.06,0.4435,20.0707,FALSE
"CP13-4583",2458.06,0.4435,20.0707,FALSE
"CP13-4623",2117.64,0.4421,20.3261,TRUE
"CP14-1116",2006.5,0.4516,21.1207,TRUE
"CP14-1315",2243.47,0.4442,19.1756,TRUE
"CP14-1349",2280.41,0.4325,19.7108,TRUE
"CP14-1377",2301.18,0.4512,19.5312,TRUE
"CP14-1490",2230.77,0.4537,19.7347,TRUE
"CP14-1524",2730.15,0.4466,19.1581,TRUE
"CP14-1587",2291.76,0.4465,19.4539,TRUE
"CP14-1649",2232.86,0.4274,20.2779,TRUE
"CP14-1660",2323.48,0.447,19.7869,FALSE
"CP14-1933",2495.61,0.4416,19.8301,TRUE
"CP14-1934",2681.01,0.4392,19.5894,TRUE
"CP14-1999",2174.41,0.4581,19.6707,TRUE
"CP14-2188",2623.9,0.4394,20.3432,TRUE
"CP14-2402",2300.53,0.4322,20.7065,TRUE
"CP14-4277",2447.05,0.4465,19.8578,FALSE
"CP14-4326",2235.71,0.4502,19.5554,FALSE
"CP14-4330",2418,0.4427,20.1291,FALSE
"CP14-4380",2349.51,0.4435,19.9278,FALSE
"CP14-4486",2458.06,0.4435,20.0707,FALSE
"CP14-4570",2370.09,0.4394,19.993,FALSE
"CP14-4588",2469.12,0.4433,20.0064,FALSE
"CP14-4602",2294.93,0.4445,19.9516,FALSE
"CP15-1101",2345.73,0.4477,20.3207,TRUE
"CP15-1167",2302.63,0.4481,19.6441,FALSE
"CP15-1402",2367.86,0.443,20.0731,FALSE
"CP15-1608",2416.89,0.446,20.047,FALSE
"CP15-1801",2344.23,0.4459,19.6819,FALSE
"CP15-1937",2402.82,0.4412,18.7505,TRUE
"CP15-1975",2249.39,0.4588,20.5553,TRUE
"CP15-2263",2345.64,0.44,19.8952,TRUE
"CP15-2405",2150.39,0.4547,20.0336,TRUE
"CP15-2443",1988.31,0.452,19.0985,TRUE
"CP15-2516",2725.26,0.4433,19.8284,TRUE
"CP15-4229",2445.08,0.4436,19.9572,FALSE
"CP15-4302",2464.71,0.4513,20.0147,FALSE
"CP15-4719",2310.61,0.4458,19.7959,FALSE
"CP15-4811",2458.06,0.4435,20.0707,FALSE
"CP15-4844",2703.18,0.4468,19.9538,FALSE
"CP16-1062",2358.14,0.4459,20.0433,FALSE
"CP16-1139",2374.19,0.452,19.9357,FALSE
"CP16-1544",2444.03,0.4433,19.7634,TRUE
"CP16-1745",2465.08,0.4326,20.5673,TRUE
"CP16-1829",2382.76,0.4436,19.5597,TRUE
"CP16-1883",2440.31,0.4446,20.3642,TRUE
"CP16-2200",2391.86,0.4473,19.696,TRUE
"CP16-2283",2466.39,0.4412,20.2832,TRUE
"CP16-2295",2627.41,0.4382,19.8936,FALSE
"CP16-4288",2458.06,0.4435,20.0707,FALSE
"CP16-4405",2458.06,0.4435,20.0707,FALSE
"CP16-4502",2458.06,0.4435,20.0707,FALSE
"CP16-4524",2458.06,0.4435,20.0707,FALSE
"CP16-4686",2458.06,0.4435,20.0707,FALSE
"CP16-4720",2458.06,0.4435,20.0707,FALSE
