Accession,Female_Parent,Male_Parent,Cross_Type
CP17-4511,CP06-2495,CP11-2324,biparental
CP17-4523,CP09-4267,CP01-2390,biparental
CP17-4572,CPCL05-1201,CPCL99-2651,biparental
CP17-4628,CPCL05-1201,CP11-1314,biparental
CP17-4654,CP84-1198,CP04-1935,biparental
CP17-4665,CP84-1198,CP04-1935,biparental
CP17-4791,CPCL97-2730,CP07-2547,biparental
CP17-4793,CPCL97-2730,CP07-2547,biparental
CP17-4805,CPCL97-2730,CP07-2547,biparental
CP17-4813,CP09-1874,CP07-2547,biparental
CP17-4830,CP09-1874,CP07-2547,biparental
CP18-1038,CP08-2506,CP92-1167,biparental
CP18-1129,CP06-2897,CP01-2390,biparental
CP18-1224,CP06-2897,CP11-1314,biparental
CP18-1430,CP12-1246,CP07-2547,biparental
CP18-1486,GA59-0024,CP11-1314,biparental
CP18-1519,CP06-2897,CP08-1183,biparental
CP18-1580,CP10-2002,CP06-2400,biparental
CP18-1586,CP08-1995,CP06-2400,biparental
CP18-1590,CP08-1995,CP06-2400,biparental
CP18-1606,CP10-2002,CP11-1314,biparental
CP18-1610,CP10-2002,CP11-1314,biparental
CP18-1680,CP10-2002,CP06-2897,biparental
CP18-1685,#8ColdHardy,CP06-2897,biparental
CP18-1837,CP11-2013,CP10-1478,biparental
CP18-1880,CP11-2013,CPCL99-2651,biparental
CP18-2021,CP09-2392,CP84-1198,biparental
CP18-2109,CP12-1789,CP07-2547,biparental
CP18-2222,CP99-1893,CP08-1553,biparental
CP18-2320,ISD30,CP06-2042,biparental
CP18-2351,CG04-9694,CP08-1553,biparental
CP18-2362,CG04-9694,CP08-1553,biparental
CP18-4027,CP04-1844,CPCL02-8021,biparental
CP18-4035,CP09-4153,CP09-4067,biparental
CP18-4144,CP04-1935,POLY13-012,biparental
CP18-4475,CPCL97-2730,CP07-2547,biparental
CP18-4692,CP06-2897,CP11-2545,biparental
CP19-1147,CP09-1132,CP03-1026,biparental
CP19-1163,CP97-1777,CP08-1553,biparental
CP19-1178,CP08-1553,POLY13-011,biparental
CP19-1383,CP08-1965,CP08-2506,biparental
CP19-1795,CP10-1478,CP08-1553,biparental
CP19-1801,Q196,CP08-1553,biparental
CP19-1834,CP02-1564,CP84-1198,biparental
CP19-2031,CP12-1757,CP08-1553,biparental
CP19-2309,CP11-2412,CP06-2042,biparental
CP19-2317,N37,CR04-0001,biparental
CP19-2338,CP07-2547,CR04-0001,biparental
CP19-2426,CP09-1262,CP11-1314,biparental
CP19-4291,CP09-1874,CP01-2390,biparental
CP19-4312,CP09-1874,CP01-2390,biparental
CP56-0059,CL47-0083,CP34-0079,biparental
CP73-1547,CP66-1043,CP56-0063,biparental
CP85-1491,NA,NA,NA
CP89-2143,CP81-1254,CP72-2086,biparental
CP96-1252,CP90-1538,CP84-1198,biparental
CPCL01-0877,NA,NA,NA
CPCL02-0926,CP80-1743,CL92-0046,biparental
CPCL02-8026,NA,NA,NA
CPCL02-8132,NA,NA,NA
CPCL02-8147,NA,NA,NA
CPCL05-1102,CL89-5189,CL88-4730,biparental
CPCL05-1201,CL87-2882,CL93-2679,biparental
CPCL95-2287,NA,NA,NA
CPCL97-0393,NA,NA,NA
CPCL99-2651,NA,NA,NA
CPF-0249,NA,NA,NA
CPF-0250,NA,NA,NA
CR04-0001,NA,NA,NA
CR94-1006,NA,NA,NA
CR95-1007,NA,NA,NA
CSSG-0033,NA,NA,NA
FIJI17,NA,NA,NA
GA64-0188,NA,NA,NA
GreenGerman,NA,NA,NA
Ho11-0512,HoCP96-0540,HoCP01-0517,biparental
Ho11-0532,HoL05-0953,HoCP02-0623,biparental
Ho11-0573,TucCP77-0042,HoCP01-0553,biparental
Ho12-0614,Ho06-9607,HoCP01-0517,biparental
Ho12-0616,Tuc89-0028,HoCP01-0517,biparental
